2026-04-01 15:50:13 | INFO    |   /new/ — found 12 VIN(s) [new]
2026-04-01 15:50:14 | INFO    |   /VehicleSearchResults?search=new — found 12 VIN(s) [unknown]
2026-04-01 15:50:15 | WARNING |   Failed to fetch https://www.bomninchevrolet.com/inventory/new/ — 404 Client Error: Not Found for url: https://www.bomninchevrolet.com/inventory/new/
2026-04-01 15:50:16 | INFO    |   /used-inventory/index.htm — found 24 VIN(s) [used]
2026-04-01 15:50:17 | WARNING |   Failed to fetch https://www.bomninchevrolet.com/used-vehicles/ — 404 Client Error: Not Found for url: https://www.bomninchevrolet.com/used-vehicles/
2026-04-01 15:50:18 | INFO    |   /used-inventory/ — found 24 VIN(s) [used]
2026-04-01 15:50:19 | INFO    |   /searchused.aspx — found 24 VIN(s) [used]
2026-04-01 15:50:20 | INFO    |   /used/ — found 24 VIN(s) [used]
2026-04-01 15:50:21 | INFO    |   /VehicleSearchResults?search=used — found 24 VIN(s) [used]
2026-04-01 15:50:23 | WARNING |   Failed to fetch https://www.bomninchevrolet.com/inventory/used/ — 404 Client Error: Not Found for url: https://www.bomninchevrolet.com/inventory/used/
2026-04-01 15:50:24 | WARNING |   Failed to fetch https://www.bomninchevrolet.com/inventory/ — 404 Client Error: Not Found for url: https://www.bomninchevrolet.com/inventory/
2026-04-01 15:50:24 | INFO    |   Bomnin Chevrolet — 36 new VIN(s) to record
2026-04-01 15:50:24 | INFO    | Scraping Classic Chevrolet Grapevine (https://www.classicchevrolet.com)
2026-04-01 15:50:24 | WARNING |   Failed to fetch https://www.classicchevrolet.com/new-inventory/index.htm — 403 Client Error: Forbidden for url: https://www.classicchevrolet.com/new-inventory/index.htm
2026-04-01 15:50:25 | WARNING |   Failed to fetch https://www.classicchevrolet.com/new-vehicles/ — 403 Client Error: Forbidden for url: https://www.classicchevrolet.com/new-vehicles/
2026-04-01 15:50:26 | WARNING |   Failed to fetch https://www.classicchevrolet.com/new-inventory/ — 403 Client Error: Forbidden for url: https://www.classicchevrolet.com/new-inventory/
2026-04-01 15:50:28 | WARNING |   Failed to fetch https://www.classicchevrolet.com/searchnew.aspx — 403 Client Error: Forbidden for url: https://www.classicchevrolet.com/searchnew.aspx
2026-04-01 15:50:28 | WARNING |   Failed to fetch https://www.classicchevrolet.com/new/ — 403 Client Error: Forbidden for url: https://www.classicchevrolet.com/new/
2026-04-01 15:50:30 | WARNING |   Failed to fetch https://www.classicchevrolet.com/VehicleSearchResults?search=new — 403 Client Error: Forbidden for url: https://www.classicchevrolet.com/VehicleSearchResults?search=new
2026-04-01 15:50:30 | WARNING |   Failed to fetch https://www.classicchevrolet.com/inventory/new/ — 403 Client Error: Forbidden for url: https://www.classicchevrolet.com/inventory/new/
2026-04-01 15:50:31 | WARNING |   Failed to fetch https://www.classicchevrolet.com/used-inventory/index.htm — 403 Client Error: Forbidden for url: https://www.classicchevrolet.com/used-inventory/index.htm
2026-04-01 15:50:31 | WARNING |   Failed to fetch https://www.classicchevrolet.com/used-vehicles/ — 403 Client Error: Forbidden for url: https://www.classicchevrolet.com/used-vehicles/
2026-04-01 15:50:32 | WARNING |   Failed to fetch https://www.classicchevrolet.com/used-inventory/ — 403 Client Error: Forbidden for url: https://www.classicchevrolet.com/used-inventory/
2026-04-01 15:50:32 | WARNING |   Failed to fetch https://www.classicchevrolet.com/searchused.aspx — 403 Client Error: Forbidden for url: https://www.classicchevrolet.com/searchused.aspx
2026-04-01 15:50:32 | WARNING |   Failed to fetch https://www.classicchevrolet.com/used/ — 403 Client Error: Forbidden for url: https://www.classicchevrolet.com/used/
2026-04-01 15:50:33 | WARNING |   Failed to fetch https://www.classicchevrolet.com/VehicleSearchResults?search=used — 403 Client Error: Forbidden for url: https://www.classicchevrolet.com/VehicleSearchResults?search=used
2026-04-01 15:50:33 | WARNING |   Failed to fetch https://www.classicchevrolet.com/inventory/used/ — 403 Client Error: Forbidden for url: https://www.classicchevrolet.com/inventory/used/
2026-04-01 15:50:34 | WARNING |   Failed to fetch https://www.classicchevrolet.com/inventory/ — 403 Client Error: Forbidden for url: https://www.classicchevrolet.com/inventory/
2026-04-01 15:50:34 | INFO    |   Classic Chevrolet Grapevine — 0 new VIN(s) to record
2026-04-01 15:50:34 | INFO    | Scraping MacMulkin Chevrolet (https://www.macmulkin.net)
2026-04-01 15:50:34 | WARNING |   Failed to fetch https://www.macmulkin.net/new-inventory/index.htm — 403 Client Error: Forbidden for url: https://www.macmulkin.net/new-inventory/index.htm
2026-04-01 15:50:35 | WARNING |   Failed to fetch https://www.macmulkin.net/new-vehicles/ — 403 Client Error: Forbidden for url: https://www.macmulkin.net/new-vehicles/
2026-04-01 15:50:35 | WARNING |   Failed to fetch https://www.macmulkin.net/new-inventory/ — 403 Client Error: Forbidden for url: https://www.macmulkin.net/new-inventory/
2026-04-01 15:50:35 | WARNING |   Failed to fetch https://www.macmulkin.net/searchnew.aspx — 403 Client Error: Forbidden for url: https://www.macmulkin.net/searchnew.aspx
2026-04-01 15:50:36 | WARNING |   Failed to fetch https://www.macmulkin.net/new/ — 403 Client Error: Forbidden for url: https://www.macmulkin.net/new/
2026-04-01 15:50:36 | WARNING |   Failed to fetch https://www.macmulkin.net/VehicleSearchResults?search=new — 403 Client Error: Forbidden for url: https://www.macmulkin.net/VehicleSearchResults?search=new
2026-04-01 15:50:37 | WARNING |   Failed to fetch https://www.macmulkin.net/inventory/new/ — 403 Client Error: Forbidden for url: https://www.macmulkin.net/inventory/new/
2026-04-01 15:50:37 | WARNING |   Failed to fetch https://www.macmulkin.net/used-inventory/index.htm — 403 Client Error: Forbidden for url: https://www.macmulkin.net/used-inventory/index.htm
2026-04-01 15:50:37 | WARNING |   Failed to fetch https://www.macmulkin.net/used-vehicles/ — 403 Client Error: Forbidden for url: https://www.macmulkin.net/used-vehicles/
2026-04-01 15:50:38 | WARNING |   Failed to fetch https://www.macmulkin.net/used-inventory/ — 403 Client Error: Forbidden for url: https://www.macmulkin.net/used-inventory/
2026-04-01 15:50:38 | WARNING |   Failed to fetch https://www.macmulkin.net/searchused.aspx — 403 Client Error: Forbidden for url: https://www.macmulkin.net/searchused.aspx
2026-04-01 15:50:39 | WARNING |   Failed to fetch https://www.macmulkin.net/used/ — 403 Client Error: Forbidden for url: https://www.macmulkin.net/used/
2026-04-01 15:50:39 | WARNING |   Failed to fetch https://www.macmulkin.net/VehicleSearchResults?search=used — 403 Client Error: Forbidden for url: https://www.macmulkin.net/VehicleSearchResults?search=used
2026-04-01 15:50:40 | WARNING |   Failed to fetch https://www.macmulkin.net/inventory/used/ — 403 Client Error: Forbidden for url: https://www.macmulkin.net/inventory/used/
2026-04-01 15:50:40 | WARNING |   Failed to fetch https://www.macmulkin.net/inventory/ — 403 Client Error: Forbidden for url: https://www.macmulkin.net/inventory/
2026-04-01 15:50:40 | INFO    |   MacMulkin Chevrolet — 0 new VIN(s) to record
2026-04-01 15:50:40 | INFO    | Scraping Les Stanford Chevrolet (https://www.lesstanford.com)
2026-04-01 15:50:42 | WARNING |   Failed to fetch https://www.lesstanford.com/new-vehicles/ — 404 Client Error: Not Found for url: https://www.lesstanford.com/new-vehicles/
2026-04-01 15:50:45 | WARNING |   Failed to fetch https://www.lesstanford.com/VehicleSearchResults?search=new — 404 Client Error: Not Found for url: https://www.lesstanford.com/VehicleSearchResults?search=new
2026-04-01 15:50:46 | WARNING |   Failed to fetch https://www.lesstanford.com/inventory/new/ — 404 Client Error: Not Found for url: https://www.lesstanford.com/inventory/new/
2026-04-01 15:50:48 | WARNING |   Failed to fetch https://www.lesstanford.com/used-vehicles/ — 404 Client Error: Not Found for url: https://www.lesstanford.com/used-vehicles/
2026-04-01 15:50:53 | WARNING |   Failed to fetch https://www.lesstanford.com/VehicleSearchResults?search=used — 404 Client Error: Not Found for url: https://www.lesstanford.com/VehicleSearchResults?search=used
